"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U303";"VSSOP-10";1;"ADC141S626CIMM_NOPB";;;
2;"U400";"VSSOP-10";1;"DAC7563SDGSR";;;
3;"C303,C305,C403,C405";"C_0402_1005Metric";4;"1n";;;
4;"C105,C104,C103,C102,C107";"C_0805_2012Metric";5;"22u";;;
5;"R304,R403,R102";"R_0402_1005Metric";3;"22k";;;
6;"C306,C202,C302,C212,C201,C203,C210,C313,C314,C108,C211,C406,C401,C301,C204,C311";"C_0402_1005Metric";16;"100n";;;
7;"R301,R302";"R_0402_1005Metric";2;"2M2";;;
8;"D202,D201,D300,D204,D400,D205,D203";"D_SOD-323";7;"PESD3V3L1BA,115";;;
9;"R103,R207,R306,R300,R105,R209,R104,R208,R307";"R_0402_1005Metric";9;"1k";;;
10;"U200";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103CBT6";;;
11;"R305,R404";"R_0402_1005Metric";2;"12k";;;
12;"R303,R402";"R_0402_1005Metric";2;"6k8";;;
13;"U102,U401,U301,U300";"SOT-23-5";4;"MCP6001T-E/OT";;;
14;"R213,R211,R308,R212,R405,R210";"R_0402_1005Metric";6;"49R9";;;
15;"C200,C400,C312,C310,C308,C315,C309";"C_0603_1608Metric";7;"10u";;;
16;"R201,R309,R400";"R_0402_1005Metric";3;"0R";;;
17;"R205,R206";"R_0402_1005Metric";2;"5k1";;;
18;"C206,C100,C101,C207,C402";"C_0603_1608Metric";5;"1u";;;
19;"R100";"R_0805_2012Metric";1;"10R";;;
20;"J201";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"2x5 1.27mm";;;
21;"D100";"LED_0603_1608Metric";1;"GREEN";;;
22;"C209,C208";"C_0402_1005Metric";2;"10p";;;
23;"J200";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
24;"J400,J300";"AMPHENOL-BNC-031-5640-1010";2;"031-5640-1010";;;
25;"U101";"SOT-23-5";1;"TLV62569DBV";;;
26;"L101";"MWSA0603S";1;"15u";;;
27;"Y200";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
28;"C307,C404,C300,C304";"C_0402_1005Metric";4;"150p";;;
29;"U302";"SOT-23";1;"REF3033AIDBZT";;;
30;"R202,R203,R200,R401";"R_0402_1005Metric";4;"10k";;;
31;"H2,H1,H3";"MountingHole_3.2mm_M3";3;"MountingHole";;;
32;"L200,L100";"L_0402_1005Metric";2;"10n";;;
33;"R204";"R_0402_1005Metric";1;"1k5";;;
34;"C106";"C_0402_1005Metric";1;"DNP";;;
35;"L201";"CMC-1206";1;"CMF3216F-900-2P-T";;;
36;"C205";"C_0402_1005Metric";1;"10n";;;
37;"U100";"SOT-89-3";1;"HT7533-1";;;
38;"R101";"R_0402_1005Metric";1;"100k";;;
39;"U201";"SOT-23-6";1;"USBLC6-2SC6";;;
40;"D200";"LED_Cree-PLCC4_2x2mm_CW";1;"LED_RGB_E6C1206RGBC3UDA";;;
